"Activity" "Subjects" "TimeDomain.Body.Acceleration.Mean-X" "TimeDomain.Body.Acceleration.Mean-Y" "TimeDomain.Body.Acceleration.Mean-Z" "TimeDomain.Body.Acceleration.StandartDeviation-X" "TimeDomain.Body.Acceleration.StandartDeviation-Y" "TimeDomain.Body.Acceleration.StandartDeviation-Z" "TimeDomain.Gravity.Acceleration.Mean-X" "TimeDomain.Gravity.Acceleration.Mean-Y" "TimeDomain.Gravity.Acceleration.Mean-Z" "TimeDomain.Gravity.Acceleration.StandartDeviation-X" "TimeDomain.Gravity.Acceleration.StandartDeviation-Y" "TimeDomain.Gravity.Acceleration.StandartDeviation-Z" "TimeDomain.Body.AccelerationJerk.Mean-X" "TimeDomain.Body.AccelerationJerk.Mean-Y" "TimeDomain.Body.AccelerationJerk.Mean-Z" "TimeDomain.Body.AccelerationJerk.StandartDeviation-X" "TimeDomain.Body.AccelerationJerk.StandartDeviation-Y" "TimeDomain.Body.AccelerationJerk.StandartDeviation-Z" "TimeDomain.Body.Angular.Velocity..Mean-X" "TimeDomain.Body.Angular.Velocity..Mean-Y" "TimeDomain.Body.Angular.Velocity..Mean-Z" "TimeDomain.Body.Angular.Velocity..StandartDeviation-X" "TimeDomain.Body.Angular.Velocity..StandartDeviation-Y" "TimeDomain.Body.Angular.Velocity..StandartDeviation-Z" "TimeDomain.Body.Angular.Velocity.Jerk.Mean-X" "TimeDomain.Body.Angular.Velocity.Jerk.Mean-Y" "TimeDomain.Body.Angular.Velocity.Jerk.Mean-Z" "TimeDomain.Body.Angular.Velocity.Jerk.StandartDeviation-X" "TimeDomain.Body.Angular.Velocity.Jerk.StandartDeviation-Y" "TimeDomain.Body.Angular.Velocity.Jerk.StandartDeviation-Z" "TimeDomain.Body.Acceleration.Magnitude..Mean" "TimeDomain.Body.Acceleration.Magnitude..StandartDeviation" "TimeDomain.Gravity.Acceleration.Magnitude..Mean" "TimeDomain.Gravity.Acceleration.Magnitude..StandartDeviation" "TimeDomain.Body.AccelerationJerk.Magnitude..Mean" "TimeDomain.Body.AccelerationJerk.Magnitude..StandartDeviation" "TimeDomain.Body.Angular.Velocity..Magnitude..Mean" "TimeDomain.Body.Angular.Velocity..Magnitude..StandartDeviation" "TimeDomain.Body.Angular.Velocity.Jerk.Magnitude..Mean" "TimeDomain.Body.Angular.Velocity.Jerk.Magnitude..StandartDeviation" "FrequencyDomain.Body.Acceleration.Mean-X" "FrequencyDomain.Body.Acceleration.Mean-Y" "FrequencyDomain.Body.Acceleration.Mean-Z" "FrequencyDomain.Body.Acceleration.StandartDeviation-X" "FrequencyDomain.Body.Acceleration.StandartDeviation-Y" "FrequencyDomain.Body.Acceleration.StandartDeviation-Z" "FrequencyDomain.Body.AccelerationJerk.Mean-X" "FrequencyDomain.Body.AccelerationJerk.Mean-Y" "FrequencyDomain.Body.AccelerationJerk.Mean-Z" "FrequencyDomain.Body.AccelerationJerk.StandartDeviation-X" "FrequencyDomain.Body.AccelerationJerk.StandartDeviation-Y" "FrequencyDomain.Body.AccelerationJerk.StandartDeviation-Z" "FrequencyDomain.Body.Angular.Velocity..Mean-X" "FrequencyDomain.Body.Angular.Velocity..Mean-Y" "FrequencyDomain.Body.Angular.Velocity..Mean-Z" "FrequencyDomain.Body.Angular.Velocity..StandartDeviation-X" "FrequencyDomain.Body.Angular.Velocity..StandartDeviation-Y" "FrequencyDomain.Body.Angular.Velocity..StandartDeviation-Z" "FrequencyDomain.Body.Acceleration.Magnitude..Mean" "FrequencyDomain.Body.Acceleration.Magnitude..StandartDeviation" "FrequencyDomain.BodyBody.AccelerationJerk.Magnitude..Mean" "FrequencyDomain.BodyBody.AccelerationJerk.Magnitude..StandartDeviation" "FrequencyDomain.BodyBody.Angular.Velocity..Magnitude..Mean" "FrequencyDomain.BodyBody.Angular.Velocity..Magnitude..StandartDeviation" "FrequencyDomain.BodyBody.Angular.Velocity.Jerk.Magnitude..Mean" "FrequencyDomain.BodyBody.Angular.Velocity.Jerk.Magnitude..StandartDeviation"
"STANDING" 2 0.277911472222222 -0.0184208270166667 -0.105908536055556 -0.999742884259259 -0.997899268703704 -0.979972376296296 -0.965560857222223 -0.948583715925926 -0.527999633407408 -0.521011885 -0.210519805760185 -0.439629918392593 0.896928566851852 -0.370062696851852 0.129747161222222 -0.99898362 -0.998799061111111 -0.998655016296296 -0.977032637222222 -0.955777678148148 -0.757442729779667 -0.999428507222223 -0.998994914444444 -0.997212761666667 0.0747588597592592 0.0103291774794444 -0.00837158846722222 -0.975979576481481 -0.999391506666667 -0.998934443703704 -0.974521333888889 -0.980891122962963 -0.999182135925926 -0.999039064814815 0.0179814973911111 -0.999068951296296 0.181180902851852 -0.0238623875712963 -0.998804296296296 -0.998681411296296 0.899966242222222 0.794552969444444 -0.99952184537037 -0.99971901 -0.999563607037037 -0.998828613333334 0.977707245740741 0.982273044259259 0.97673763462963 -0.107416045074074 -0.171160370096296 0.000226810610740737 0.18445040162963 -0.201434103137037 -0.965875181296296 -0.957874965 -0.998936118703704 -0.999284092037037 -0.956163500925926 -0.0598797868240741 -0.96943092962963 -0.605572782777778 -0.212554993685185 -0.983946739814815 -0.825013644851852 -0.940035272777777
"SITTING" 2 0.27708735173913 -0.0156879937282609 -0.109218272456522 -0.999344693695652 -0.994452909565217 -0.97531781326087 -0.962625605434783 -0.958168110217392 -0.607037765652174 -0.5004216375 -0.174953947956522 -0.389546246934783 0.940477273043478 -0.105630024498783 0.19872676876087 -0.999084457608696 -0.99806029326087 -0.997441556086957 -0.967219263695652 -0.960708292608696 -0.866774604673913 -0.999596960869565 -0.999118715 -0.996685089347826 0.0722564387173913 0.0116954511323913 0.00760546929869565 -0.983337279347826 -0.999794075217391 -0.999464775869565 -0.979644762391304 -0.985748769782609 -0.99967520826087 -0.999678335869565 0.0560621092195652 -0.999663234782609 0.0525305806521739 -0.0454706620434783 -0.999387580652174 -0.999228367826087 0.905085796956522 0.787973085 -0.999750724565217 -0.999718999347826 -0.999686733913043 -0.999457000217391 0.986231316739131 0.992043955 0.98795173673913 0.130523120891304 -0.192142737913044 0.0409472348676087 0.165177400471739 -0.1117612925 -0.967893623913044 -0.953081444130435 -0.999699973913043 -0.999510826521739 -0.966489517608696 -0.0465395786717391 -0.980120206956522 -0.652096107826087 -0.184917620573913 -0.985803840652174 -0.90145344673913 -0.954451346521739
"LAYING" 2 0.281373403958333 -0.0181587397583333 -0.107245610416667 -0.998827222083334 -0.999174261666667 -0.986975118541667 -0.985124292916667 -0.984509167708333 -0.365240315729167 -0.686939295416667 -0.583311054020833 -0.7727719634375 -0.509754238125 0.752536639375 0.646834879583333 -0.99950883875 -0.999443196875 -0.999417494583333 -0.98995767625 -0.985215197708333 -0.808533114875 -0.999763677291667 -0.999598569166666 -0.998745637708333 0.0825972511666667 0.012254788451875 -0.00180264895625 -0.984663811458334 -0.999651926458333 -0.999540290833333 -0.983221174791667 -0.987513330208333 -0.999796080416667 -0.999706765833333 0.0615497245 -0.999756119791667 0.00766428163541667 -0.01847660675 -0.999509661041666 -0.99940135875 0.898140824166667 0.825742531666667 -0.999748127916667 -0.999783355416667 -0.999745201666667 -0.999439795625 0.992272077708333 0.990880804583333 0.988461009375 0.10261131938125 0.04228066839375 0.0552985986479167 0.188903979395833 -0.244819853270833 -0.977435485208333 -0.972873912916666 -0.999641106875 -0.999345255416666 -0.966822267291667 -0.141203233875 -0.979569619791666 -0.71379855125 0.00630606409166667 -0.976725059791666 -0.920797804583333 -0.902777776875
"WALKING" 2 0.276426586440678 -0.0185949199145763 -0.105500357966102 -0.830778074915254 -0.566292304745763 -0.862887200169492 -0.392230918813559 -0.408763002542373 0.346780219322034 -0.807951885932203 -0.454207306254237 -0.724849881525424 0.913017333389831 -0.34660709 0.0847270871186441 -0.493371845661017 -0.730819317101695 -0.714132015254237 -0.973744440169491 -0.975868435423729 -0.420668067966102 -0.914858393050847 -0.94465279779661 -0.930060082033898 0.0618080696279661 0.0182492679288136 0.0078953370661017 -0.200783762859322 -0.731834155762712 -0.498938397813559 -0.319598538474576 -0.611522634576271 -0.877238171355932 -0.817239077288135 0.185873758461017 -0.842339895254237 0.224548708762712 -0.0530258157347457 -0.276711503016949 -0.696912997966102 0.668028600508474 0.348751239830508 -0.891409285254238 -0.955975453898305 -0.965781333559322 -0.918855456949153 0.420722813050847 0.697636240677966 0.581330714576272 0.00727967988474576 -0.0427009322372881 0.139752115269492 -0.112274999164407 0.176396531827119 -0.290407593728813 -0.422544169322034 -0.866457763559322 -0.961424050677966 -0.586184276610169 -0.0111708590067797 -0.538685194237288 0.504065863220339 0.23773453523678 -0.346048161016949 0.363422317118644 -0.88539144101695
"WALKING_DOWNSTAIRS" 2 0.27761534806383 -0.0226614158361702 -0.116812942382979 -0.442673706170213 -0.184752994225532 -0.814679872765958 -0.144548046112766 -0.191592563148936 0.0785968326659574 -0.805437517872341 -0.458697395851064 -0.690804057404255 0.861831345531915 -0.325780100638298 -0.0438890162723404 -0.616025475744681 -0.573552626404255 -0.538669633574468 -0.942846135744681 -0.936192329361702 -0.160476241655319 -0.80650467893617 -0.828051394468085 -0.828356011489362 0.110040615569574 -0.00327959081489362 -0.0209351677765958 0.173171545723404 -0.324913726946808 -0.340952940106383 -0.101862904642553 -0.418661031787234 -0.516601425319149 -0.486338536106383 0.134128043895745 -0.463926185408511 0.132899850775532 -0.11594735287234 -0.355820739574468 -0.471360726823404 0.504278771276596 0.187331086368298 -0.771906292127659 -0.893171546808511 -0.869308986170213 -0.778284905319149 0.161767013659575 0.467262076170213 0.408370604468085 -0.037529802319149 0.0770894557234043 0.1367749584 0.0790410821085106 0.0543209986234042 0.0899511204978723 0.215586334889362 -0.73273573212766 -0.825299470425532 -0.35818044606383 -0.0196318243617021 -0.482419943444681 0.590355810851064 0.0799973712212766 0.112841160325532 0.50295255 -0.890577504042553
"WALKING_UPSTAIRS" 2 0.247164790395833 -0.0214121132045833 -0.152513899520833 -0.752867485416666 -0.378177679375 -0.838663185208333 -0.0947931754416666 -0.284847268104167 0.236298760916667 -0.469267838208333 -0.179587421058333 -0.505033947083333 0.790717418541667 -0.416214890416667 -0.195888238891667 -0.695662500208333 -0.725400378541667 -0.710888890416667 -0.930197245625 -0.894181480416667 -0.1398641343125 -0.930884893125 -0.925867313541667 -0.895360060625 0.0744507839572917 -0.00970985514333334 0.01948143925 -0.203049236020833 -0.729342128333333 -0.65173714 -0.261918494320833 -0.589242685208333 -0.730293022291667 -0.756090170208333 -0.00389094628333333 -0.718476685416667 0.307773663458333 -0.0576912634583333 -0.63429230375 -0.672308895895833 0.619115752916667 0.28210755425 -0.92370181875 -0.963054204375 -0.951384930833334 -0.904815577083333 0.443668553958333 0.711504738541667 0.600514979791667 -0.115324433733333 -0.130357850675 -0.0773418117291667 0.0751369210020833 -0.0506586726450208 -0.107322679520833 -0.205977045295833 -0.883665749375 -0.894971178541666 -0.416696958541667 -0.1963162895 -0.523087588541667 0.508580094583333 -0.00629092502708334 -0.266720933270833 0.338768313125 -0.878968251458333
"STANDING" 4 0.280499745892857 -0.00948911098553571 -0.0961574905535714 -0.998896669285714 -0.975048139821428 -0.958674495 -0.882957408303571 -0.882997324160714 -0.420718403428571 -0.341131074035714 0.248800890617857 0.0589242327696429 0.95619779125 -0.0759009061071429 0.166893825946429 -0.995389449107143 -0.994305982321428 -0.992608246785714 -0.92209628125 -0.905632200714286 -0.922885204642857 -0.998789618392857 -0.997628087142857 -0.993724248214286 0.0721328379857143 -0.00653015693773214 -0.0211889890567857 -0.956634985892857 -0.998927478214286 -0.996532750714286 -0.946298144821429 -0.971461556785714 -0.998556269642857 -0.997993942857143 0.0470136051803571 -0.998218435892857 0.181442369375 -0.0306449342357143 -0.996158419642857 -0.996384815 0.889191690178571 0.753492039821429 -0.999110496607143 -0.999278701785714 -0.999104248035715 -0.998375530535714 0.951127802142858 0.979221245714286 0.9643760325 -0.2748096406875 -0.364372374642857 -0.223109154546429 -0.018239525725 -0.00635125645892859 -0.906478051785714 -0.890976683392857 -0.999132477678572 -0.999082020357143 -0.891708328392857 0.196361488694821 -0.938151879821428 -0.354415208035714 -0.139377556403571 -0.973497549642857 -0.659022728035714 -0.962018141071428
"SITTING" 4 0.27153827992 -0.007163065158 -0.10587459588 -0.9994347216 -0.9773597006 -0.9737382714 -0.9129438042 -0.9297869206 -0.441399027406 -0.4509987283148 0.0792535266 -0.134126074786 0.8693030064 0.211622539936894 0.11012048108 -0.9935488294 -0.992609275 -0.9896115648 -0.9417523672 -0.955041650000001 -0.836553252 -0.9992065224 -0.9982520706 -0.9948525238 0.0784500239 -0.0108582171094 -0.0121499951596 -0.963471424 -0.9993681224 -0.9967073802 -0.9587043418 -0.9774843738 -0.999475338 -0.9993749782 0.028185932966 -0.9994041356 0.081225216248 -0.04944351156 -0.9961891952 -0.9970140926 0.8850941778 0.772808495 -0.9994812676 -0.9994932976 -0.999394155 -0.9990824118 0.96158183 0.9858354566 0.9729274484 0.1090926580982 -0.394745539548 -0.1457260342 0.06298191048 -0.14484439976 -0.93569482 -0.9144078448 -0.9991768938 -0.9994358594 -0.9348685534 0.02197077316 -0.965001958 -0.49900025932 -0.17701907396 -0.9774624984 -0.7561568831 -0.9676190476
"LAYING" 4 0.263559214981481 -0.0150031841055556 -0.110688150314815 -0.993357406666666 -0.992233481111111 -0.985459387777778 -0.962524585555556 -0.962377354814815 -0.347395084333333 -0.7782310485 -0.219401765509259 -0.43657323487037 -0.420664662222222 0.915165104259259 0.341531310555556 -0.992454777962963 -0.996290023333333 -0.992898810185185 -0.977799344814815 -0.979210254444444 -0.608734069320371 -0.999127907407408 -0.998975323333333 -0.998511592037038 0.0934494217777778 0.00693313213968518 -0.00641054328740741 -0.964242979814814 -0.999043623148148 -0.993961058888889 -0.955891447962963 -0.978151373703704 -0.999432140925926 -0.998840199074074 0.123033531822222 -0.999155017777778 0.0909557492907407 -0.00923156347222222 -0.991452474629629 -0.994836055 0.892589783333333 0.834140003333334 -0.999191751666667 -0.999193532592593 -0.999367542037037 -0.998534292592593 0.97445176037037 0.988886380185185 0.985743289074074 -0.0660921823944444 -0.526889995562963 0.152886311603704 0.225122605121111 -0.284821243005555 -0.954557603148148 -0.931292216611111 -0.999339753703703 -0.999244921851851 -0.953050380740741 0.12539192047963 -0.969270574814815 -0.586556898955556 -0.213939327314815 -0.958802077592592 -0.868148662407408 -0.937683715740741
"WALKING" 4 0.278582015166667 -0.0148399475341667 -0.11140306485 -0.840930358333333 -0.5655426285 -0.9112491225 -0.26858671235 -0.590794151166666 0.388412857666667 -0.538268184 -0.3700087065 -0.659990892666667 0.963999696833333 -0.0858540265666667 0.127764112666667 -0.784396233 -0.850364940166667 -0.814050553666667 -0.971051002166667 -0.964872616 -1 -0.974994997166667 -0.978080029166667 -0.968458204 0.0783529082183333 0.00295602428666666 -0.000767679338333334 -0.3597218515 -0.747832004166667 -0.686486131333333 -0.3633750935 -0.716514761 -0.887851893166667 -0.852369358666667 0.0756858855308334 -0.863927579 0.296045602775 -0.0317982557795 -0.721437111333334 -0.819075605 0.755453836166667 0.471764393833333 -0.973716052833333 -0.980573142333333 -0.986177159833333 -0.969370201166667 0.6035013795 0.865517814833333 0.7650288705 -0.12715408578 -0.27466563765 0.149851534733333 -0.0935923042983333 -0.0678893910871666 -0.312050574166667 -0.527679103166667 -0.942460172833333 -0.971781154333333 -0.592263705333333 0.152922233035 -0.674915504 0.372624903833333 -0.105221905636667 -0.426719449666667 0.178562230766667 -0.873015870000001
